R	i2c	c2i
100	0.03973092999999608	0.036358049999998344
110	0.04269610999999714	0.034801999999996266
120	0.03996033000000807	0.03475717999999972
130	0.0407196899999974	0.03455556999999487
140	0.040472270000000775	0.0349381099999988
150	0.04116587999999979	0.03511741000000086
160	0.040483749999992824	0.03464917000000582
170	0.041542409999999565	0.034329099999999356
180	0.042688289999998116	0.03326961999999867
190	0.04114405000000261	0.03475857999999619
200	0.04071226000000081	0.03346812999999997
210	0.040721880000009494	0.03330756000000292
220	0.04140507999999556	0.03186276999999791
230	0.0429673399999956	0.03109856000000093
240	0.04186616000000072	0.03136834000000022
250	0.04223426000000359	0.030375260000005254
260	0.04202001999999823	0.030507900000000632
270	0.04138476000000253	0.03208925000000136
280	0.041418020000003254	0.029776340000006486
290	0.04334728999999697	0.02919995000000881
300	0.04136134000000027	0.02935287999999616
310	0.042412309999997434	0.028797989999995367
320	0.041334690000002186	0.027829299999993395
330	0.04247338999999499	0.028979290000003745
340	0.04387108999999896	0.02921642999999676
350	0.04374800000000505	0.026859780000003754
360	0.04242042000000197	0.026323790000003556
370	0.04208339999999851	0.026892290000000686
380	0.042582750000002535	0.026561729999994555
390	0.042881330000005845	0.025349460000001045
400	0.04262219000000585	0.02427511999999581
410	0.04290063000000259	0.024918089999999893
420	0.042526339999997734	0.024658449999998312
430	0.04169322000000193	0.023985499999997727
440	0.04326337999999623	0.023686549999999328
450	0.04223121999999933	0.02363933999999972
460	0.043305269999990514	0.022598440000001573
470	0.041692719999997505	0.02193031999999846
480	0.042805989999999385	0.022254649999999286
490	0.04202137999999707	0.023181629999993448
500	0.035184150000000615	0.00019670000000360233
510	0.04025378000000046	0.019372969999994893
520	0.04032174999999825	0.01870285999999908
530	0.04263468000000046	0.021828709999999772
540	0.041377540000002	0.018435319999997545
550	0.042469669999999834	0.01859073999999623
560	0.0429164199999974	0.018833130000004417
570	0.041794170000000005	0.018289310000000114
580	0.04208881000000133	0.018137390000006803
590	0.04288260999999523	0.017418350000005488
600	0.04286604999999497	0.01723877000000016
610	0.04173804000000132	0.017679440000000567
620	0.04169639999999788	0.016465250000004518
630	0.041783079999999015	0.016573730000004616
640	0.04060965999999837	0.01478242000000023
650	0.04110789000000921	0.01449577000000204
660	0.04152273999999352	0.013214730000004237
670	0.04106872999999496	0.013171729999999115
680	0.04195595999999853	0.01293724000000509
690	0.043301900000003	0.013747610000004329
700	0.041421869999999215	0.012973780000001512
710	0.0405713100000014	0.01146547000000453
720	0.0412274799999949	0.011212589999999523
730	0.040891259999997945	0.011276990000010301
740	0.03917983999999421	0.011278540000000703
750	0.0410605500000031	0.011289659999999913
760	0.041995410000001246	0.009961200000000758
770	0.04070389000000034	0.010252289999996833
780	0.040707989999995677	0.008791770000001975
790	0.03981901000000221	0.009707819999999857
800	0.0400561400000015	0.008752759999998716
810	0.040214989999998355	0.008017580000003476
820	0.03965421999999421	0.008377079999996795
830	0.04109740999999758	0.006375699999995277
840	0.039768689999993966	0.005819820000002096
850	0.03929097000000468	0.006368310000001998
860	0.0389975800000002	0.006428380000002676
870	0.039069329999998105	0.0059009599999995995
880	0.038501819999996204	0.005051149999999893
890	0.03717710999999611	0.005380349999995815
900	0.03897792999999581	0.003932559999995533
910	0.03903881999999896	0.00360038999999972
920	0.040657029999997006	0.0031067300000046315
930	0.04041869000000418	0.003207339999994474
940	0.03662624999999764	0.003116180000000668
950	0.036791589999995725	0.002317610000002901
960	0.03670412000000169	0.0017814400000020214
970	0.03674847000000057	0.0015140500000029532
980	0.035951009999996585	0.0011687799999975824
990	0.03663378999999907	0.0005609700000007934
